tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency
6650000,200,200,200,2976.747474747475,4754.628140703518,0.5909090909090909,1,Infinity,Infinity,-1,0.305,-1,200,0,1,159436.889,-1,-1,-1,151742.1623931624,151742.1623931624,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.8852459016393
6700000,200,200,200,3009.5,4827.85,0.495,1,Infinity,Infinity,-1,0.315,-1,200,0,1,155629.589,-1,-1,-1,167590.2323232323,167590.2323232323,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9718309859154,3504.9242424242425
6750000,200,200,200,2967.1741293532336,4788.885,0.5472636815920398,1,Infinity,Infinity,-1,0.29,-1,200,0,1,156770.732,-1,-1,-1,146466.9090909091,146466.9090909091,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9166666666665
6800000,200,200,200,2987,4822.517587939698,0.495,1,Infinity,Infinity,-1,0.29,-1,200,0,1,153201.879,-1,-1,-1,171763.94949494948,171763.94949494948,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9076923076923
6850000,200,200,200,3009.537688442211,4856.821782178218,0.5025125628140703,1,Infinity,Infinity,-1,0.325,-1,200,0,1,152673.529,-1,-1,-1,149045.84,149045.84,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9701492537315
6900000,200,200,200,2994.5373134328356,4847.56783919598,0.5323383084577115,1,Infinity,Infinity,-1,0.325,-1,200,0,1,154432.238,-1,-1,-1,154169.261682243,154169.261682243,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9242424242425
6950000,200,200,200,2947,4935.335,0.57,1,Infinity,Infinity,-1,0.335,-1,200,0,1,156211.089,-1,-1,-1,158159.57894736843,158159.57894736843,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.984375,3504.9298245614036
7000000,200,200,200,3002,4944.105527638191,0.56,1,Infinity,Infinity,-1,0.3,-1,200,0,1,157441.181,-1,-1,-1,159901.79464285713,159901.79464285713,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9871794871797,3504.901639344262
7050000,200,200,200,2982.0995024875624,4994.894472361809,0.5472636815920398,1,Infinity,Infinity,-1,0.285,-1,200,0,1,161085.722,-1,-1,-1,141905.4818181818,141905.4818181818,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9866666666667,3504.915254237288
7100000,200,200,200,2994.5,5036.896551724138,0.565,1,Infinity,Infinity,-1,0.24,-1,200,0,1,159932.422,-1,-1,-1,163862.75221238937,163862.75221238937,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9866666666667,3504.9180327868853
7150000,200,200,200,2999.4747474747473,5033.095477386934,0.5505050505050505,1,Infinity,Infinity,-1,0.285,-1,200,0,1,159219.531,-1,-1,-1,159555.05504587156,159555.05504587156,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9859154929577,3504.9523809523807
7200000,200,200,200,3009.4626865671644,4999.39,0.527363184079602,1,Infinity,Infinity,-1,0.3,-1,200,0,1,156340.185,-1,-1,-1,174985.9716981132,174985.9716981132,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9857142857145,3504.9402985074626
7250000,200,200,200,3007.025125628141,5052.64824120603,0.47738693467336685,1,Infinity,Infinity,-1,0.275,-1,200,0,1,154600.783,-1,-1,-1,154570.47368421053,154570.47368421053,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.955223880597
7300000,200,200,200,2997,5077.291457286432,0.525,1,Infinity,Infinity,-1,0.275,-1,200,0,1,152454.479,-1,-1,-1,170237.78095238094,170237.78095238094,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9508196721313
7350000,200,200,200,3041.6039603960394,5093.9701492537315,0.5099009900990099,1,Infinity,Infinity,-1,0.295,-1,200,0,1,152680.526,-1,-1,-1,143498.66019417476,143498.66019417476,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.96
7400000,200,200,200,3052.251256281407,5131.935,0.5577889447236181,1,Infinity,Infinity,-1,0.275,-1,200,0,1,155253.169,-1,-1,-1,149017.1081081081,149017.1081081081,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9841269841268,3504.9615384615386
7450000,200,200,200,3012.0502512562816,5107.934343434344,0.5276381909547738,1,Infinity,Infinity,-1,0.3,-1,200,0,1,156329.528,-1,-1,-1,153167.2,153167.2,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9859154929577,3504.9545454545455
7500000,200,200,200,2994.5373134328356,5199.425,0.572139303482587,1,Infinity,Infinity,-1,0.26,-1,200,0,1,159083.125,-1,-1,-1,146727.29565217393,146727.29565217393,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.921875
7550000,200,200,200,3032,5213.316831683168,0.495,1,Infinity,Infinity,-1,0.25,-1,200,0,1,158271.763,-1,-1,-1,135683.1717171717,135683.1717171717,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9714285714285
