,loadFromY,loadFromY,loadFromY,loadFromY,,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,
,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,
1050000,172,172,172,172,,2937.05325443787,2992.603550295858,2981.378698224852,2929.2958579881656,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1100000,203,203,203,203,,2959.569306930693,2955.628712871287,2934.2019704433496,2977.9059405940593,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1150000,247,247,247,247,,2944.1563786008232,2910.077551020408,2908.061728395062,2966.5020576131687,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1200000,301,301,301,301,,2980.6174496644294,2941.493288590604,2952.742474916388,2967.8518518518517,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1250000,361,361,361,361,,2946.0364145658264,2940.76338028169,2933.9269662921347,2945.111420612813,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1300000,423,423,422,423,,2895.874109263658,2950.744630071599,2944.239808153477,2947.3827751196172,,0.997624703087886,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1350000,483,466,473,470,,2771.072463768116,3371.952789699571,3220.646934460888,3243.4264392324094,,0.937888198757764,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1400000,539,473,472,470,,2554.9795918367345,6851.492600422833,6262.993644067797,5518.093617021276,,0.8571428571428571,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1450000,586,472,474,474,,2372.3418803418804,14335.146186440677,13593.272151898735,8378.113924050633,,0.7829059829059829,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1500000,621,476,476,482,,2256.370786516854,24032.298319327732,17370.852941176472,9322.894822006472,,0.7528089887640449,1,0.7777777777777778,0.7799352750809061,,NaN,NaN,NaN,0.3165829145728643,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
