,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,meanResponseGFastAvailability,meanResponseGFastAvailability,meanResponseGFastAvailability,meanResponseGFastAvailability,,meanResponseGMediumAvailability,meanResponseGMediumAvailability,meanResponseGMediumAvailability,meanResponseGMediumAvailability,,meanResponseGSlowAvailability,meanResponseGSlowAvailability,meanResponseGSlowAvailability,meanResponseGSlowAvailability,,meanResponseGFastLatency,meanResponseGFastLatency,meanResponseGFastLatency,meanResponseGFastLatency,,meanResponseGMediumLatency,meanResponseGMediumLatency,meanResponseGMediumLatency,meanResponseGMediumLatency,,meanResponseGSlowLatency,meanResponseGSlowLatency,meanResponseGSlowLatency,meanResponseGSlowLatency,
,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,G - PerRequestTimeout,
2700000,6774.045685279188,3164.6555023923447,2,2977,,1,1,0.585,0.51,,,NaN,,0.48,,,NaN,,0.5666666666666667,,,NaN,,0.49230769230769234,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.923076923077,
2750000,7097.969849246231,3682.3917525773195,2,2959.070707070707,,1,1,0.53,0.5707070707070707,,,NaN,,0.6571428571428571,,,NaN,,0.52,,,NaN,,0.5283018867924528,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.8490566037735,
2800000,7327.115577889447,3553.1970443349755,2,2972.1492537313434,,1,1,0.565,0.5174129353233831,,,NaN,,0.5416666666666666,,,NaN,,0.4782608695652174,,,NaN,,0.5333333333333333,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9710144927535,,NaN,NaN,NaN,3504.9166666666665,
2850000,7432.633165829146,3580.543147208122,2,2984.5,,1,1,0.535,0.545,,,NaN,,0.6351351351351351,,,NaN,,0.5084745762711864,,,NaN,,0.47761194029850745,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.9661016949153,,NaN,NaN,NaN,3504.9402985074626,
2900000,7355.485148514851,3687.689655172414,2,3029.638190954774,,1,1,0.59,0.49748743718592964,,,NaN,,0.5,,,NaN,,0.4375,,,NaN,,0.547945205479452,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.917808219178,
2950000,7168.3564356435645,3332.497487437186,2,3004.4752475247524,,1,1,0.52,0.5495049504950495,,,NaN,,0.532258064516129,,,NaN,,0.5454545454545454,,,NaN,,0.5714285714285714,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.987012987013,,NaN,NaN,NaN,3504.936507936508,
3000000,6878.5,3071.6138613861385,2,2956.7738693467336,,1,1,0.575,0.5778894472361809,,,NaN,,0.6527777777777778,,,NaN,,0.5616438356164384,,,NaN,,0.5,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.972602739726,,NaN,NaN,NaN,3504.9074074074074,
3050000,6433.850746268657,3187.756345177665,2,3007,,1,1,0.51,0.535,,,NaN,,0.5833333333333334,,,NaN,,0.5641025641025641,,,NaN,,0.45161290322580644,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.951612903226,
3100000,5828.995098039216,2685.088669950739,2,3006.9751243781093,,1,1,0.6,0.5024875621890548,,,NaN,,0.43333333333333335,,,NaN,,0.5063291139240507,,,NaN,,0.5645161290322581,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3004.987341772152,,NaN,NaN,NaN,3504.8064516129034,
3150000,5213.847290640394,2661.316582914573,2,2999.5,,1,1,0.535,0.535,,,NaN,,0.5205479452054794,,,NaN,,0.6181818181818182,,,NaN,,0.4861111111111111,,NaN,NaN,NaN,2505,,NaN,NaN,NaN,3005,,NaN,NaN,NaN,3504.9166666666665,
